,open,high,low,close,tick_volume,real_volume,spread,ema_200,ema_117,ema_50,adx,di_p,di_n,atr,atr_sma_5,atr_sma_200,heikin_close,heikin_open,heikin_high,heikin_low,adx_heikin_ema_buy,adx_heikin_ema_buy_results,adx_heikin_ema_buy_end,adx_heikin_ema_buy_enter,adx_heikin_ema_buy_stop,adx_heikin_ema_sell,adx_heikin_ema_sell_results,adx_heikin_ema_sell_end,adx_heikin_ema_sell_enter,adx_heikin_ema_sell_stop
2022-03-15 11:32:00,1.09949,1.09973,1.09945,1.09972,59,0,0,1.09938,1.09971,1.09976,18.08886816929178,18.23616411118302,23.811862335416905,0.00025,0.00025,0.00035,1.0996,1.0994251598661484,1.09973,1.0994251598661484,1.0,buy break even,2022-03-15 12:01:00,1.09976,1.0990900000000001,,,,,
2022-03-16 16:14:00,1.10093,1.10251,1.10093,1.10248,310,0,0,1.09972,1.09974,1.0998,21.802195179051186,52.468087512378204,11.06883965917447,0.00048,0.00037,0.00027,1.10171,1.1001525837867752,1.10251,1.1001525837867752,1.0,buy break even,2022-03-16 16:38:00,1.10088,1.09922,,,,,
2022-03-16 16:48:00,1.10013,1.10061,1.09988,1.1006,242,0,0,1.1003,1.10059,1.101,32.08455860548656,21.31789453190121,30.96304587265069,0.00064,0.00064,0.00032,1.10031,1.0996631870847569,1.10061,1.0996631870847569,1.0,buy win_3,2022-03-16 17:02:00,1.09965,1.09866,,,,,
2022-03-18 14:41:00,1.10343,1.10343,1.10327,1.10334,50,0,0,1.10415,1.10346,1.10304,23.36562464334705,28.980637271235448,20.171901702254317,0.00019,0.00019,0.00021,1.10337,1.1034758851394963,1.1034758851394963,1.10327,,,,,,1.0,sell break even,2022-03-18 14:50:00,1.10324,1.10367
2022-03-18 14:51:00,1.10253,1.10279,1.10225,1.10259,293,0,0,1.10407,1.10343,1.10311,25.531708726959124,10.929008019840468,37.189220057260826,0.00028,0.00022,0.00021,1.10254,1.1031725643409565,1.1031725643409565,1.10225,,,,,,1.0,sell win_3,2022-03-18 15:08:00,1.102925,1.1036299999999999
2022-03-22 14:00:00,1.09994,1.10044,1.09994,1.1004,152,0,0,1.09978,1.09991,1.09993,14.534892112412091,28.979214400264937,18.125920934803077,0.00028,0.00026,0.00024,1.10018,1.0997958891197648,1.10044,1.0997958891197648,1.0,buy win_3,2022-03-22 14:15:00,1.1000100000000002,1.09955,,,,,
2022-03-22 15:03:00,1.10218,1.10241,1.10216,1.10241,128,0,0,1.10096,1.10152,1.10224,27.86035157130477,22.65403672834445,27.3142053959918,0.00029,0.00029,0.00025,1.10229,1.102075927399028,1.10241,1.102075927399028,1.0,buy break even,2022-03-22 15:09:00,1.1019649999999999,1.10149,,,,,
2022-03-23 13:05:00,1.10036,1.10036,1.10025,1.10027,47,0,0,1.10094,1.10052,1.10024,16.22927798667348,29.61932550464032,22.179334531688287,0.00017,0.00017,0.00021,1.10031,1.100434843992332,1.100434843992332,1.10025,,,,,,1.0,sell win_3,2022-03-23 13:23:00,1.10022,1.1006799999999999
2022-03-23 14:14:00,1.09916,1.09916,1.09893,1.099,100,0,0,1.09986,1.0993,1.09885,29.47419074364864,24.81483363630131,20.651150653530856,0.00021,0.00021,0.00021,1.09906,1.0992264027364085,1.0992264027364085,1.09893,,,,,,1.0,sell break even,2022-03-23 14:38:00,1.0989,1.09944
2022-03-23 14:48:00,1.0992,1.09921,1.09877,1.09886,87,0,0,1.09954,1.09906,1.09883,21.70167997232261,22.071830513128017,22.798067350790305,0.00023,0.00022,0.00022,1.09901,1.099277493257254,1.099277493257254,1.09877,,,,,,1.0,sell lose,2022-03-23 14:51:00,1.09874,1.09944
2022-03-23 14:55:00,1.09892,1.09893,1.09853,1.09859,107,0,0,1.09951,1.09906,1.09888,18.734005898195807,21.807383255188924,34.131967732209375,0.00027,0.00026,0.00022,1.09874,1.0990369335410723,1.0990369335410723,1.09853,,,,,,1.0,sell break even,2022-03-23 15:01:00,1.098995,1.09949
2022-03-23 15:08:00,1.09873,1.09878,1.09853,1.0986,59,0,0,1.09942,1.099,1.09883,14.581414222876855,19.073297217573582,29.86464424760068,0.00026,0.00026,0.00022,1.09866,1.0988444747233326,1.0988444747233326,1.09853,,,,,,1.0,sell win_3,2022-03-23 15:35:00,1.0985,1.09913
2022-03-23 16:17:00,1.09845,1.09849,1.09827,1.0983,98,0,0,1.09848,1.09798,1.09767,40.26924850120692,34.42070612613971,14.911466094347418,0.00028,0.00028,0.00024,1.09838,1.098587586860257,1.098587586860257,1.09827,,,,,,1.0,sell break even,2022-03-23 16:36:00,1.09824,1.0988499999999999
2022-03-28 10:56:00,1.095,1.09504,1.09481,1.09489,175,0,0,1.09548,1.09546,1.09544,16.157534121128986,17.366047266645896,28.885607380465817,0.00026,0.00025,0.00017,1.09494,1.0953235393037364,1.0953235393037364,1.09481,,,,,,1.0,sell break even,2022-03-28 11:10:00,1.095195,1.09561
2022-03-30 10:00:00,1.11121,1.11255,1.11121,1.11231,230,0,0,1.11118,1.11126,1.11127,36.13768307566719,38.16379743005386,18.45386122022741,0.00034,0.00027,0.00015,1.11182,1.110956243298707,1.11255,1.110956243298707,1.0,buy break even,2022-03-30 10:31:00,1.111555,1.11053,,,,,
2022-03-30 10:33:00,1.11208,1.1122,1.11202,1.11219,201,0,0,1.1115,1.11171,1.11199,20.703090809493933,18.213696191345207,20.798103386401948,0.00034,0.00035,0.00019,1.11212,1.1118860968497182,1.1122,1.1118860968497182,1.0,buy win_3,2022-03-30 10:37:00,1.111875,1.11152,,,,,
2022-03-30 11:08:00,1.1123,1.11258,1.11229,1.11244,117,0,0,1.11182,1.11209,1.11239,16.64818877800759,23.79082747089852,25.916330068227825,0.00035,0.00035,0.00022,1.1124,1.1121778376700178,1.11258,1.1121778376700178,1.0,buy break even,2022-03-30 11:25:00,1.112145,1.11168,,,,,
2022-03-30 11:28:00,1.11261,1.11276,1.11258,1.11269,86,0,0,1.11195,1.11223,1.11249,9.614070728623286,23.77223961767225,24.7674433639176,0.00032,0.00033,0.00024,1.11266,1.1124791840341928,1.11276,1.1124791840341928,1.0,buy lose,2022-03-30 11:30:00,1.11279,1.1121,,,,,
2022-03-30 11:33:00,1.1127,1.11284,1.11265,1.11274,95,0,0,1.11198,1.11224,1.11248,10.609593519241631,25.128176246384104,25.691034056703263,0.00034,0.00034,0.00025,1.11273,1.1123430995010684,1.11284,1.1123430995010684,1.0,buy win_3,2022-03-30 11:37:00,1.112415,1.11196,,,,,
2022-03-30 12:56:00,1.11466,1.11476,1.11461,1.11473,79,0,0,1.11366,1.11433,1.11491,24.33761974819826,16.02776493834876,28.232410487509213,0.0002,0.0002,0.00032,1.11469,1.1145627959700497,1.11476,1.1145627959700497,1.0,buy lose,2022-03-30 13:00:00,1.11479,1.1143,,,,,
2022-03-30 14:41:00,1.11419,1.11455,1.11418,1.11455,99,0,0,1.11339,1.11349,1.11362,29.900271464995523,28.09348422270007,21.161149009463788,0.00025,0.00023,0.0003,1.11437,1.114014781723858,1.11455,1.114014781723858,1.0,buy break even,2022-03-30 14:55:00,1.114015,1.11345,,,,,
2022-03-31 17:01:00,1.10884,1.10909,1.1088,1.10884,230,0,0,1.10989,1.10937,1.10899,14.289925410613137,15.866086938886212,23.80158553297087,0.00042,0.00042,0.0003,1.10889,1.1091377442000874,1.1091377442000874,1.1088,,,,,,1.0,sell win_3,2022-03-31 17:07:00,1.10917,1.10957
2022-03-31 17:26:00,1.10852,1.10872,1.10825,1.10827,146,0,0,1.10958,1.10906,1.10868,14.150259102569148,23.59102382842149,29.50128616040424,0.00038,0.00038,0.00031,1.10844,1.1087701363309546,1.1087701363309546,1.10825,,,,,,1.0,sell win_3,2022-03-31 17:39:00,1.10867,1.1091199999999999
2022-04-01 17:04:00,1.10451,1.1046,1.10431,1.10443,165,0,0,1.10493,1.1047,1.10448,13.013654430569217,23.284621052669756,21.92265070299536,0.00027,0.00025,0.00024,1.10446,1.104714975322452,1.104714975322452,1.10431,,,,,,1.0,sell break even,2022-04-01 17:13:00,1.104655,1.10503
2022-04-01 17:18:00,1.10454,1.10454,1.10439,1.1045,67,0,0,1.10487,1.10466,1.10449,10.945407121107378,21.27430069860734,20.90419842478193,0.00024,0.00024,0.00024,1.10449,1.1046343222030837,1.1046343222030837,1.10439,,,,,,1.0,sell win_3,2022-04-01 17:40:00,1.10436,1.10492
2022-04-04 15:13:00,1.10053,1.10062,1.10049,1.10061,52,0,0,1.10109,1.10061,1.10035,24.97165783391078,30.969760450287147,16.585143070318242,0.00022,0.00023,0.00018,1.10056,1.1006493279147462,1.1006493279147462,1.10049,,,,,,1.0,sell lose,2022-04-04 15:19:00,1.10046,1.10086
2022-04-04 15:22:00,1.10066,1.10071,1.10048,1.10049,93,0,0,1.10105,1.10061,1.10042,27.29164178750972,28.474628242413687,19.954594750190864,0.00022,0.00022,0.00018,1.10058,1.1007149791560835,1.1007149791560835,1.10048,,,,,,1.0,sell break even,2022-04-04 15:47:00,1.10045,1.10093
2022-04-04 15:47:00,1.10045,1.10046,1.09976,1.09996,138,0,0,1.10094,1.1006,1.10052,19.91644777109341,15.698957183848696,40.4973122161026,0.00021,0.00018,0.00018,1.10016,1.1006179680930073,1.1006179680930073,1.09976,,,,,,1.0,sell break even,2022-04-04 15:56:00,1.1003,1.10087
2022-04-04 17:29:00,1.09817,1.09834,1.09817,1.09827,91,0,0,1.09972,1.09924,1.09882,20.081238640273348,19.994889312481497,31.45376530243622,0.00024,0.00024,0.00021,1.09824,1.098660318846675,1.098660318846675,1.09817,,,,,,1.0,sell break even,2022-04-04 17:50:00,1.098705,1.09927
2022-04-05 08:17:00,1.09653,1.09654,1.09643,1.09648,32,0,0,1.09681,1.09669,1.09654,14.711993090622157,24.600947611514908,16.956791591811843,0.00013,0.00013,0.0001,1.0965,1.0965798792701915,1.0965798792701915,1.09643,,,,,,2.0,,1970-01-01 00:00:00,1.0964,1.09676
2022-04-05 15:06:00,1.09691,1.09691,1.0968,1.0968,57,0,0,1.09714,1.09703,1.09692,24.68123359268856,26.609052889953965,19.483351460699357,0.00021,0.00021,0.0002,1.09686,1.096932037170523,1.096932037170523,1.0968,,,,,,1.0,sell win_3,2022-04-05 15:37:00,1.09677,1.09721
2022-04-05 17:14:00,1.09561,1.09564,1.09503,1.09518,247,0,0,1.09673,1.09665,1.09662,26.290087906802118,15.589883419005396,37.86572143944012,0.00036,0.00032,0.00021,1.09537,1.0961795896980686,1.0961795896980686,1.09503,,,,,,1.0,sell win_3,2022-04-05 17:24:00,1.095895,1.09679
2022-04-06 08:39:00,1.08969,1.08972,1.08963,1.08963,14,0,0,1.08972,1.08969,1.08968,16.90711844910239,20.93555798181471,25.739210859109253,0.0001,0.0001,0.0001,1.08967,1.0897476409870404,1.0897476409870404,1.08963,,,,,,1.0,sell win_3,2022-04-06 08:58:00,1.0896000000000001,1.08982
2022-04-14 12:58:00,1.0913,1.09132,1.09125,1.09132,25,0,0,1.09112,1.09116,1.09128,26.55544279257156,14.788406486224227,29.28719230982763,0.00017,0.00018,0.00019,1.0913,1.091247164389888,1.09132,1.091247164389888,1.0,buy lose,2022-04-14 13:28:00,1.09135,1.09101,,,,,
2022-04-14 14:46:00,1.08884,1.08941,1.08828,1.0886,354,0,0,1.09089,1.09081,1.0907,36.7166243728339,12.791962543075844,51.45850817673864,0.00045,0.00029,0.00017,1.08878,1.0908315779877038,1.0908315779877038,1.08828,,,,,,1.0,sell win_3,2022-04-14 15:51:00,1.0900050000000001,1.09176
2022-04-20 17:44:00,1.0846,1.08487,1.08458,1.08486,90,0,0,1.0841,1.08432,1.08478,28.65493387078184,22.302465995465624,25.834729945796585,0.00028,0.00028,0.00026,1.08473,1.0845148276376293,1.08487,1.0845148276376293,1.0,buy win_3,2022-04-20 17:58:00,1.0849,1.08429,,,,,
2022-04-25 12:51:00,1.07384,1.0739,1.07383,1.07384,43,0,0,1.07444,1.07422,1.07421,12.655375172286126,17.647474460166816,26.673497517744167,0.00024,0.00024,0.00035,1.07385,1.0740656999708746,1.0740656999708746,1.07383,,,,,,1.0,sell win_3,2022-04-25 13:05:00,1.0738,1.0743
2022-04-26 16:04:00,1.06752,1.06756,1.0674,1.06745,74,0,0,1.06819,1.06787,1.06765,16.21658488070752,17.75252981474808,25.50735561111735,0.00028,0.00029,0.00022,1.06748,1.0675808272826317,1.0675808272826317,1.0674,,,,,,1.0,sell lose,2022-04-26 16:08:00,1.06737,1.06796
2022-04-26 16:11:00,1.06788,1.06794,1.06753,1.06753,104,0,0,1.06817,1.06786,1.06768,14.243655481461362,25.432351784722464,26.98143406826104,0.00027,0.00026,0.00022,1.06772,1.0679578189631456,1.0679578189631456,1.06753,,,,,,1.0,sell win_3,2022-04-26 16:18:00,1.067885,1.06827
2022-04-26 17:34:00,1.0673,1.06731,1.06704,1.06708,116,0,0,1.06771,1.06747,1.06731,14.888309233650416,14.038926595430931,18.60376120601449,0.00029,0.0003,0.00026,1.06718,1.0673284962567928,1.0673284962567928,1.06704,,,,,,1.0,sell win_3,2022-04-26 17:41:00,1.06701,1.06766
2022-04-27 14:01:00,1.06073,1.06079,1.06062,1.06078,57,0,0,1.06127,1.0611,1.06106,11.476500436360965,23.951442463789878,25.077298605567005,0.00027,0.00028,0.00033,1.06073,1.060884015278425,1.060884015278425,1.06062,,,,,,1.0,sell win_3,2022-04-27 14:33:00,1.06059,1.06121
2022-04-28 08:54:00,1.05203,1.05205,1.05144,1.05149,183,0,0,1.05177,1.05118,1.05076,33.82919695540311,32.72985746302743,23.964094101255608,0.0005,0.00049,0.00022,1.05175,1.052113625559917,1.052113625559917,1.05144,,,,,,1.0,sell break even,2022-04-28 09:23:00,1.052015,1.05262
2022-04-28 13:10:00,1.05242,1.05245,1.05203,1.05213,107,0,0,1.05284,1.05278,1.05251,19.405405004462644,24.245781674197715,31.13825886342677,0.00033,0.00032,0.00037,1.05226,1.0526775321169832,1.0526775321169832,1.05203,,,,,,1.0,sell win_3,2022-04-28 13:22:00,1.052515,1.05303
2022-04-28 15:46:00,1.0502,1.05027,1.04966,1.0501,261,0,0,1.0506,1.05013,1.05001,25.09855452759297,24.3445004785611,30.98976350034469,0.00063,0.00064,0.00035,1.05006,1.0508116745988634,1.0508116745988634,1.04966,,,,,,1.0,sell win_3,2022-04-28 15:58:00,1.050395,1.0511599999999999
2022-04-29 16:10:00,1.05309,1.05309,1.05264,1.05273,180,0,0,1.05459,1.05393,1.05312,17.652259551425647,24.348037150705025,26.91233459824452,0.00048,0.00048,0.00032,1.05289,1.0534751249124668,1.0534751249124668,1.05264,,,,,,1.0,sell break even,2022-04-29 16:12:00,1.053385,1.05416
2022-04-29 16:25:00,1.05349,1.05351,1.05325,1.05342,117,0,0,1.05441,1.05378,1.05321,12.538336316015457,25.41679862431035,23.76006812824089,0.00042,0.00045,0.00034,1.05342,1.05364768387222,1.05364768387222,1.05325,,,,,,1.0,sell win_3,2022-04-29 16:29:00,1.05358,1.0539399999999999
2022-04-29 16:41:00,1.05298,1.05322,1.05292,1.05292,93,0,0,1.05421,1.05361,1.05314,9.454923042175349,19.61685684651636,20.582375959198345,0.00043,0.00044,0.00035,1.05301,1.0531850776318952,1.05322,1.05292,,,,,,1.0,sell win_3,2022-04-29 16:52:00,1.053305,1.05372
2022-05-05 16:29:00,1.05607,1.05613,1.05594,1.05602,118,0,0,1.05688,1.0562,1.05577,32.67919599829077,27.103449684981637,13.557600229345924,0.00033,0.00034,0.00034,1.05604,1.0562981752465053,1.0562981752465053,1.05594,,,,,,1.0,sell win_3,2022-05-05 16:32:00,1.05627,1.05663
2022-05-05 16:32:00,1.05562,1.05563,1.05515,1.05525,163,0,0,1.05684,1.05617,1.05575,29.45703047953447,21.175643528776902,26.844943254196004,0.00033,0.00033,0.00034,1.05541,1.0559222719058132,1.0559222719058132,1.05515,,,,,,1.0,sell break even,2022-05-05 16:41:00,1.0558,1.0564799999999999
2022-05-05 16:45:00,1.05544,1.05558,1.05515,1.05516,164,0,0,1.05667,1.05602,1.05563,18.12817485140569,23.66818364006741,29.289903823358948,0.00036,0.00036,0.00035,1.05533,1.0557474526699104,1.0557474526699104,1.05515,,,,,,1.0,sell win_3,2022-05-05 16:50:00,1.05564,1.05616
2022-05-05 17:01:00,1.05474,1.05515,1.05449,1.05504,220,0,0,1.05643,1.05579,1.05538,15.387512638178748,17.17817435209342,27.711258454215336,0.00049,0.00045,0.00036,1.05485,1.0553677257912089,1.0553677257912089,1.05449,,,,,,1.0,sell break even,2022-05-05 17:10:00,1.055155,1.05585
2022-05-05 17:34:00,1.05488,1.05512,1.05464,1.05469,221,0,0,1.05598,1.05538,1.05499,10.303594678457472,14.803701248998438,20.2551527990852,0.00045,0.00044,0.00039,1.05483,1.055113839807713,1.05512,1.05464,,,,,,1.0,sell break even,2022-05-05 17:35:00,1.0550549999999999,1.0554999999999999
2022-05-09 11:59:00,1.05073,1.0508,1.0506,1.05077,81,0,0,1.05113,1.05111,1.051,13.225857751804371,19.75074322298985,26.602877031085526,0.00027,0.00027,0.0003,1.05072,1.0509216728974495,1.0509216728974495,1.0506,,,,,,1.0,sell lose,2022-05-09 12:04:00,1.05057,1.05118
